Sales, units;янв.18;фев.18;мар.18;апр.18
FRKSV3391D;0;0;0;1
CBBAP5973Z;0;0;0;54
XKJGT6306A;0;0;0;-3
TEGQF3030P;0;0;0;3
HRUSZ6130S;0;0;0;6
KLXZM8781X;0;0;0;1
AOBAX4106W;0;0;0;4
NYRNX6684P;0;0;0;50
XILCN0801N;0;0;0;109
RNZKK7724W;0;0;0;24
OJLCN8377S;0;0;0;36
QBFZA1040B;0;0;0;30
YDDHI5420L;0;0;0;24
KWUBF3313X;0;0;0;24
ERWUV9439T;0;0;0;48
ZZEAM7314Q;0;0;0;24
CLWFK1942T;0;0;0;60
RYPIA5047M;0;0;0;48
BSCHP6233Q;0;0;0;24
AJUMK6034M;0;0;0;6
XPZKS8555K;0;0;0;6
OSYMA1150J;0;0;0;12
MQUFN6873Y;0;0;0;61
MBJMO4882P;0;0;0;49
ULGRB1292I;0;0;0;59
PFNBW4730G;0;0;0;1
FSVSV8778X;0;0;0;25
QJHMM2801O;0;0;0;-1
UUFXM2333X;0;0;0;29
XLSYK1334Q;0;0;0;-1
ROXYH8100K;0;0;0;37
RNEEL7486O;0;0;0;12
BWIJD4954X;0;0;0;-1
SNIJR6148T;0;0;0;2
YUWGF2448D;0;0;0;12
YZDMP0559G;0;0;0;140
